Date,Text,Poster,Likes,MultiMedia
"Sep 14, 2022","Just #PutAnEgg on it! Have you tried this speggtacular pizza from @figotoronto? 🍕 If not, this is your sign to stop by and give them a try! Let us know which pizza toppings make you eggstatic! #LocalLove #SupportLocals #EggsAnytime⁠
⁠
Il suffit de mettre un œuf dessus! Avez-vous essayé les pizzas spectaculaires de @figotoronto? 🍕 Si ce n'est pas le cas, c'est le moment de passer les voir et de les essayer! Faites-nous savoir quelle pizza vous a fait saliver. #LocalLove #SupportezLocal #OeufsATouteHeure",eggsoeufs,31,https://scontent.cdninstagram.com/v/t51.2885-15/306664888_586014313205795_3602073610716482506_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=vNODCdRsMmEAX_rPT7p&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjkyNzI3NTg4MTk1NzQ4NTc2Mw%3D%3D.2-ccb7-5&oh=00_AfCbZtwio_6-8vMFWnv7EbzvjWCeRY72WnXRfD9I_fLr4g&oe=646EDBD3&_nc_sid=df044f
"Feb 9, 2020","1️⃣ Roll dough
2️⃣ Add sauce and toppings
3️⃣ Crack eggs, bake!

It’s that easy! Check out the link in our bio for this delicious #NationalPizzaDay recipe 🍕

1️⃣ Rouler la pâte
2️⃣ Ajouter la sauce et les garnitures
3️⃣ Casser les œufs et cuire!

Rien de plus facile! Cliquez sur le lien dans notre bio pour découvrir cette délicieuse recette pour la #JournéeNationaleDeLaPizza 🍕!",eggsoeufs,320,https://scontent.cdninstagram.com/v/t51.2885-15/83158140_561618294424967_2095960718622621956_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=4_1-4n8Prd0AX9LUi_n&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjI0MDI3ODQzMzMyOTgzMjczNg%3D%3D.2-ccb7-5&oh=00_AfBM58rSuNedLRFqHvOvMwNvvjp7XXvINlixc393CzReHw&oe=646E6EC3&_nc_sid=df044f
"Jun 5, 2017",The perfect post workout power snack from @delishgreen 💪🥑. | @delishgreen nous propose une collation énergétique idéale après l’entraînement.,eggsoeufs,114,https://scontent.cdninstagram.com/v/t51.2885-15/18889307_459952231037374_1583480255065096192_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=u1EGmRo_ej4AX8xEVEp&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MTUzMDUxMTUwODUyMTE0NzIzNg%3D%3D.2-ccb7-5&oh=00_AfDyiRo-rCJPdmxJhPHZF09JYAcJ3lRNxL7ge4Us5bZTbQ&oe=646F75D8&_nc_sid=df044f
"Jul 29, 2018",Don’t let those 3 PM snack cravings sneak up on you! Curb your hunger with these epic snack ideas. 🥑 | Ne vous laissez pas surprendre par une fringale à 15 h! Contrôlez votre faim avec ces idées de collations. 🍳,eggsoeufs,1068,https://scontent.cdninstagram.com/v/t51.2885-15/37539221_261151624697285_6227388909148438528_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&_nc_ohc=lKRcMiVqKWoAX8dDoo0&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MTgzNDUxMzQ0MzIzMTg0MDQ4MA%3D%3D.2-ccb7-5&oh=00_AfCQ3R_0kAtc2bGkDilmY8znWWmyCKr2RrRUQ6VnRvU9Qw&oe=646E6BC5&_nc_sid=df044f
"Dec 27, 2022","Don’t be weird like Kevun, be like @alybrassard ! ⁠
Just add 2 #eggs to your meal for an extra 12 grams of #protein 💪 #EggsAnytime⁠
⁠
Ne soit pas bizarre comme Kevun, sois comme @alybrassard ! ⁠Ajoutez simplement 2 œufs à votre repas pour 12 grammes de protéines supplémentaires 💪",eggsoeufs,25,https://instagram.fymq2-1.fna.fbcdn.net/v/t51.2885-15/345985651_266209049160191_9009302906850633175_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fymq2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=I0EeN1EoQB0AX_KY6AA&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzEwMTE2MjIzODY0ODY1Mzc0OQ%3D%3D.2-ccb7-5&oh=00_AfBRyI2CZX9Ce9xqWHkas6aR8z0wN-exGmZA0QvR73YoaA&oe=646F8598&_nc_sid=a1ad6c
"Jul 12, 2021","#PersonalityQuiz: Which egg are you? Let us know in the comments which egg dish reveals your true personality! 🥚⁠⁠
⁠⁠
Sunny Side Up: Adventurous, easy going and bold – always looking to meet fascinating people and make unforgettable memories.⁠⁠
⁠⁠
Eggs Benedict: Extravagant and fancy – love enjoying the finer things in life and living to the fullest! ⁠⁠
⁠⁠
Soft Boiled Eggs: Honest and true to themselves – always staying authentic no matter what!⁠⁠
⁠⁠
Questionnaire sur la personnalité : Quel œuf êtes-vous ? Dites-nous dans les commentaires quel plat à base d'œufs révèle votre véritable personnalité ! 🥚⁠⁠
⁠⁠
Oeuf tourné : Aventureux, facile à vivre et audacieux - toujours à la recherche de rencontres fascinantes et de souvenirs inoubliables.⁠⁠
⁠⁠
Œufs Bénédicte : Extravagant et fantaisiste - aime apprécier les choses les plus fines de la vie et vivre pleinement! ⁠⁠
⁠⁠
Œufs à la coque : Honnêtes et fidèles à eux-mêmes - ils restent toujours authentiques, quoi qu'il arrive !⁠⁠
⁠⁠",eggsoeufs,331,https://scontent.cdninstagram.com/v/t51.2885-15/217400098_354833492827291_8759410014086333333_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=UBgZVtaeQyEAX-6Oiso&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjYxNjM0NjY4Njc2OTc1MjUwNg%3D%3D.2-ccb7-5&oh=00_AfDVMlkjjooh78X8OzDKC4kO9RRnk5naVkiuyjE5yWuWpg&oe=646E51A7&_nc_sid=df044f
"Apr 21, 2022","Ready to make a simple yet nutritious egg salad sandwich? Check out @lemanracing’s trusted recipe and enjoy it for breakfast or lunch today! 🥚 Recipe in bio! #EggsAnytime #EggSalad⁠
⁠
Prêt à préparer un sandwich à la salade aux œufs à la fois simple et nutritif? Découvrez la recette éprouvée de @lemanracing et dégustez-la au déjeuner ou au dîner aujourd'hui! 🥚 Recette au lien dans la bio! #OeufsATouteHeure #Saladed'Oeufs",eggsoeufs,41,https://scontent.cdninstagram.com/v/t51.2885-15/279002863_669342681021802_8072775487891380654_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=wJjX4buw95sAX_SaBx0&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjgyMTM5NzY4MjA1ODQ2OTE0Mg%3D%3D.2-ccb7-5&oh=00_AfDNOAIYvWNFpQHvRWkzurACwPhOHgMPAzIVu3iFI8UpRg&oe=646FDDE7&_nc_sid=df044f
"May 3, 2017",We're loving @imagelicious's tips on how to bake a boiled egg. | On adore les conseils de @imagelicious sur la façon de faire cuire un œuf poché au four.,eggsoeufs,94,https://scontent.cdninstagram.com/v/t51.2885-15/18252357_379208642473342_3794241939704905728_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=tvTMqGFRWgcAX9xBNAM&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MTUwNjgzNTQyMjUxNjMyNTE2Nw%3D%3D.2-ccb7-5&oh=00_AfD3CkHWh5_8-CwrxY_IQapNO_KBVuWn4f0bmMIDQuvnDg&oe=646E5905&_nc_sid=df044f
"Oct 20, 2016","So good you might want to repeat this wholesome meal for lunch and dinner! Get the recipe link in our bio!
---
Un déjeuner tellement complet que vous voudrez le concocter à nouveau pour dîner et souper! La recette se trouve dans notre profil!",eggsoeufs,88,https://scontent.cdninstagram.com/v/t51.2885-15/14533501_1799062890382940_8686058932201848832_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=lzIhkx0i8Z8AX8b_4Pr&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MTM2NTUyNTAwNDEyODY4ODc1Ng%3D%3D.2-ccb7-5&oh=00_AfD92mvrgNzn2gfEPnowBedc-t1HoePU0QBWDyVzEkI8XQ&oe=646F7D74&_nc_sid=df044f
"Mar 30, 2020",Check out our best tips for eating well at home 🏡 | Voici nos meilleurs conseils pour manger sainement à la maison 🏡,eggsoeufs,151,https://scontent.cdninstagram.com/v/t51.2885-15/91736644_716820345688967_5721712311882612496_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=5IKpP92dStkAX9f44da&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MjI3NjI5NDk1NTEwNDY0ODM5MA%3D%3D.2-ccb7-5&oh=00_AfBn237d528HzDNCjjdTfefiMSlOV3_5Ljb-qNw83IrWmw&oe=646FC726&_nc_sid=df044f
